Date,Vietnam_White_5%
1997-08-15,253.0
1997-09-15,253.0
1997-10-15,237.0
1997-11-15,241.0
1997-12-15,270.0
1998-01-15,262.0
1998-02-15,255.0
1998-03-15,280.0
1998-04-15,295.0
1998-05-15,357.7920792079208
1998-06-15,304.0
1998-07-15,305.0
1998-08-15,315.0
1998-09-15,311.0
1998-10-15,295.0
1998-11-15,278.0
1998-12-15,258.0
1999-01-15,245.0
1999-02-15,239.0
1999-03-15,228.0
1999-04-15,221.0
1999-05-15,229.0
1999-06-15,238.0
1999-07-15,230.0
1999-08-15,230.0
1999-09-15,218.0
1999-10-15,201.0
1999-11-15,217.0
1999-12-15,227.0
2000-01-15,229.0
2000-02-15,210.0
2000-03-15,194.0
2000-04-15,175.0
2000-05-15,173.0
2000-06-15,175.0
2000-07-15,183.0
2000-08-15,183.0
2000-09-15,176.0
2000-10-15,179.0
2000-11-15,176.0
2000-12-15,170.0
2001-01-15,168.0
2001-02-15,163.0
2001-03-15,151.0
2001-04-15,148.0
2001-05-15,151.0
2001-06-15,154.0
2001-07-15,159.0
2001-08-15,176.0
2001-09-15,173.0
2001-10-15,176.0
2001-11-15,191.0
2001-12-15,192.0
2002-01-15,192.0
2002-02-15,185.0
2002-03-15,172.0
2002-04-15,185.0
2002-05-15,195.0
2002-06-15,191.0
2002-07-15,189.0
2002-08-15,190.0
2002-09-15,191.0
2002-10-15,188.0
2002-11-15,186.0
2002-12-15,182.0
2003-01-15,173.0
2003-02-15,172.0
2003-03-15,175.0
2003-04-15,177.0
2003-05-15,185.0
2003-06-15,185.0
2003-07-15,181.0
2003-08-15,182.0
2003-09-15,186.0
2003-10-15,191.0
2003-11-15,197.0
2003-12-15,200.0
2004-01-15,197.0
2004-02-15,199.0
2004-03-15,230.0
2004-04-15,241.0
2004-05-15,236.0
2004-06-15,232.0
2004-07-15,227.0
2004-08-15,230.0
2004-09-15,224.0
2004-10-15,219.0
2004-11-15,230.0
2004-12-15,239.0
2005-01-15,251.0
2005-02-15,266.0
2005-03-15,263.0
2005-04-15,256.0
2005-05-15,251.0
2005-06-15,240.0
2005-07-15,241.0
2005-08-15,255.0
2005-09-15,255.0
2005-10-15,264.0
2005-11-15,357.7920792079208
2005-12-15,357.7920792079208
2006-01-15,263.0
2006-02-15,262.0
2006-03-15,251.0
2006-04-15,241.0
2006-05-15,257.0
2006-06-15,262.0
2006-07-15,262.0
2006-08-15,266.0
2006-09-15,270.0
2006-10-15,276.0
2006-11-15,295.0
2006-12-15,357.7920792079208
2007-01-15,357.7920792079208
2007-02-15,357.7920792079208
2007-03-15,300.0
2007-04-15,302.0
2007-05-15,302.0
2007-06-15,302.0
2007-07-15,302.0
2007-08-15,308.6666666666667
2007-09-15,321.6666666666667
2007-10-15,357.7920792079208
2007-11-15,357.7920792079208
2007-12-15,357.7920792079208
2008-01-15,390.0
2008-02-15,467.0
2008-03-15,588.0
2008-04-15,830.0
2008-05-15,1075.0
2008-06-15,883.0
2008-07-15,712.0
2008-08-15,588.0
2008-09-15,566.0
2008-10-15,465.0
2008-11-15,413.0
2008-12-15,419.0
2009-01-15,399.0
2009-02-15,433.0
2009-03-15,456.0
2009-04-15,460.0
2009-05-15,457.0
2009-06-15,414.0
2009-07-15,404.0
2009-08-15,393.0
2009-09-15,384.0
2009-10-15,405.0
2009-11-15,465.0
2009-12-15,357.7920792079208
2010-01-15,482.0
2010-02-15,425.0
2010-03-15,386.0
2010-04-15,353.0
2010-05-15,356.0
2010-06-15,363.0
2010-07-15,356.0
2010-08-15,420.0
2010-09-15,458.0
2010-10-15,468.0
2010-11-15,493.0
2010-12-15,497.0
2011-01-15,479.0
2011-02-15,469.0
2011-03-15,455.0
2011-04-15,475.0
2011-05-15,473.0
2011-06-15,465.0
2011-07-15,506.0
2011-08-15,555.0
2011-09-15,568.0
2011-10-15,573.0
2011-11-15,554.0
2011-12-15,498.0
2012-01-15,448.0
2012-02-15,426.0
2012-03-15,420.0
2012-04-15,436.0
2012-05-15,426.0
2012-06-15,415.0
2012-07-15,409.0
2012-08-15,433.0
2012-09-15,455.0
2012-10-15,450.0
2012-11-15,449.0
2012-12-15,415.0
2013-01-15,405.0
2013-02-15,400.0
2013-03-15,399.0
2013-04-15,383.0
2013-05-15,375.0
2013-06-15,369.0
2013-07-15,389.0
2013-08-15,391.0
2013-09-15,363.0
2013-10-15,395.0
2013-11-15,403.0
2013-12-15,427.0
2014-01-15,404.0
2014-02-15,398.0
2014-03-15,388.0
2014-04-15,388.0
2014-05-15,403.0
2014-06-15,405.0
2014-07-15,431.0
2014-08-15,455.0
2014-09-15,448.0
2014-10-15,440.0
2014-11-15,420.0
2014-12-15,392.0
2015-01-15,374.0
2015-02-15,355.0
2015-03-15,367.0
2015-04-15,358.0
2015-05-15,355.0
2015-06-15,353.0
2015-07-15,350.0
2015-08-15,343.0
2015-09-15,329.0
2015-10-15,364.0
2015-11-15,376.0
2015-12-15,377.0
2016-01-15,359.0
2016-02-15,354.0
2016-03-15,381.0
2016-04-15,374.0
2016-05-15,376.0
2016-06-15,374.0
2016-07-15,377.0
2016-08-15,350.0
2016-09-15,334.0
2016-10-15,345.0
2016-11-15,345.0
2016-12-15,337.0
2017-01-15,340.0
2017-02-15,353.0
2017-03-15,357.0
2017-04-15,350.0
2017-05-15,360.0
2017-06-15,405.0
2017-07-15,408.0
2017-08-15,400.0
2017-09-15,385.0
2017-10-15,396.0
2017-11-15,403.0
2017-12-15,390.0
2018-01-15,417.0
2018-02-15,423.0
2018-03-15,419.0
