Date,Pakistan_White_5%
2019-10-15,367.0
2019-11-15,353.0
2019-12-15,358.0
2020-01-15,376.0
2020-02-15,380.0
2020-03-15,399.0
2020-04-15,435.0
2020-05-15,444.0
2020-06-15,448.0
2020-07-15,438.0
2020-08-15,443.0
2020-09-15,423.0
2020-10-15,405.0
2020-11-15,385.0
2020-12-15,423.0
2021-01-15,442.0
2021-02-15,451.0
2021-03-15,437.0
2021-04-15,435.0
2021-05-15,447.0
2021-06-15,435.0
2021-07-15,400.0
2021-08-15,367.0
2021-09-15,363.0
2021-10-15,360.0
2021-11-15,360.0
2021-12-15,348.0
2022-01-15,361.0
2022-02-15,353.0
2022-03-15,350.0
2022-04-15,360.0
2022-05-15,367.0
2022-06-15,406.0
2022-07-15,391.0
2022-08-15,371.0
2022-09-15,420.0
2022-10-15,401.0
2022-11-15,432.0
2022-12-15,456.0
2023-01-15,484.0
2023-02-15,484.0
2023-03-15,459.0
2023-04-15,503.0
2023-05-15,536.0
2023-06-15,504.0
2023-07-15,534.0
2023-08-15,596.0
2023-09-15,570.0
2023-10-15,535.0
2023-11-15,575.0
2023-12-15,576.0
2024-01-15,633.0
2024-02-15,613.0
